QualStatus,IssueAge,Gender,InitialBB,InitialPols,InitialPremium,Benefit_Base_Bucket,Percentage,CreditingStrategy,PolicyID,SCPeriod,valRate,MGIR,Bonus,RollupType,Rollup,RollupDuration,GLWBStartYear,WaitPeriod
N,57,Male,4517.733352,0.162589678,3475.179501,"[0, 50000)",0.061331559,Fixed,165,10,0.0475,0.01,0,Simple,0.1,10,20,19
N,57,Male,13553.20005,0.487769033,10425.5385,"[0, 50000)",0.183994678,Indexed,166,10,0.0475,0.01,0,Simple,0.1,10,20,19
N,57,Male,4714.233656,0.169661569,3626.333582,"[0, 50000)",0.063999196,Fixed,167,10,0.0475,0.01,0,Simple,0.1,10,99,98
N,57,Male,14142.70097,0.508984708,10879.00075,"[0, 50000)",0.191997587,Indexed,168,10,0.0475,0.01,0,Simple,0.1,10,99,98
N,57,Male,297.49897,0.0024195,228.8453616,"[100000, 200000)",0.000685979,Fixed,169,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Male,892.4969101,0.007258499,686.5360847,"[100000, 200000)",0.002057937,Indexed,170,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Male,191.6931682,0.001559002,147.4562832,"[100000, 200000)",0.00044201,Fixed,171,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Male,575.0795045,0.004677006,442.3688497,"[100000, 200000)",0.00132603,Indexed,172,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Male,528.8504102,0.004301034,406.8080078,"[100000, 200000)",0.001219434,Fixed,173,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Male,1586.551231,0.012903103,1220.424024,"[100000, 200000)",0.003658301,Indexed,174,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Male,771.9607052,0.006278202,593.8159271,"[100000, 200000)",0.001780002,Fixed,175,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Male,2315.882116,0.018834605,1781.447781,"[100000, 200000)",0.005340006,Indexed,176,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Male,1098.96171,0.008937635,845.3551616,"[100000, 200000)",0.002534007,Fixed,177,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Male,3296.88513,0.026812906,2536.065485,"[100000, 200000)",0.007602022,Indexed,178,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Male,1524.200948,0.012396021,1172.462268,"[100000, 200000)",0.003514532,Fixed,179,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Male,4572.602845,0.037188063,3517.386803,"[100000, 200000)",0.010543597,Indexed,180,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Male,2057.009283,0.016729244,1582.314833,"[100000, 200000)",0.004743092,Fixed,181,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Male,6171.027849,0.050187733,4746.944499,"[100000, 200000)",0.014229277,Indexed,182,10,0.0475,0.01,0,Simple,0.1,10,7,6
