PolicyID,TotalHedgeGains,Excel,Difference
2456,10671.34405,10671.34405,-2.09796E-06
1934,5239.406751,5239.406753,-2.06898E-06
2270,3562.956546,3562.956548,-2.0318E-06
1762,32072.06975,32072.06975,-1.98555E-06
1902,50021.36635,50021.36635,-1.94297E-06
2438,11151.18784,11151.18784,-1.92997E-06
2434,9838.393482,9838.393484,-1.90622E-06
2226,6416.351431,6416.351433,-1.87442E-06
1508,10004.31415,10004.31416,-1.85589E-06
2322,10563.01195,10563.01195,-1.84999E-06
1738,5618.886523,5618.886525,-1.83929E-06
1888,11421.07341,11421.07342,-1.80165E-06
1060,13821.33544,13821.33544,-1.74505E-06
2168,13362.14654,13362.14654,-1.74072E-06
2158,15847.08713,15847.08713,-1.73413E-06
2170,15068.20484,15068.20484,-1.68562E-06
2172,17251.50956,17251.50956,-1.57856E-06
2182,37888.21283,37888.21283,-1.54934E-06
2166,12043.34628,12043.34628,-1.5397E-06
2176,22192.30073,22192.30073,-1.51087E-06
2222,5245.962482,5245.962483,-1.43374E-06
780,13988.11246,13988.11246,-1.41206E-06
1786,13545.98266,13545.98266,-1.33061E-06
1534,9741.835498,9741.835499,-1.31136E-06
1618,36788.14068,36788.14068,-1.29876E-06
1616,11575.50287,11575.50287,-1.26009E-06
1732,35736.29408,35736.29408,-1.23665E-06
1058,13197.81911,13197.81911,-1.12504E-06
1990,4321.707503,4321.707504,-9.99439E-07
554,8392.931281,8392.931282,-9.9596E-07
2130,5466.79282,5466.792821,-9.91137E-07
1118,3574.10458,3574.104581,-8.95609E-07
1814,14424.97641,14424.97641,-8.50976E-07
2164,11281.23904,11281.23904,-8.45659E-07
1958,16527.18924,16527.18924,-8.29899E-07
2796,2588.683386,2588.683387,-8.18886E-07
2290,13899.51993,13899.51993,-8.12875E-07
1804,2172.266427,2172.266428,-8.08978E-07
56,2305.28671,2305.286711,-8.03092E-07
1870,44050.41768,44050.41768,-7.84668E-07
1736,8088.62262,8088.622621,-7.75803E-07
1396,2132.333478,2132.333479,-7.66726E-07
384,1054.444927,1054.444928,-7.62612E-07
2448,5307.803996,5307.803997,-7.57073E-07
1376,442.809497,442.8094978,-7.52974E-07
1112,1950.005277,1950.005278,-7.41296E-07
1926,11961.58273,11961.58273,-7.39765E-07
2572,4145.456092,4145.456093,-7.37748E-07
1096,994.447818,994.4478187,-7.33287E-07
1584,1936.671976,1936.671977,-7.31668E-07
1890,14276.46231,14276.46231,-7.19332E-07
192,6360.740513,6360.740514,-7.17432E-07
1698,965.402478,965.4024787,-7.06798E-07
1916,1040.526684,1040.526685,-7.06397E-07
2468,547.747288,547.7472887,-7.02098E-07
2794,2619.576818,2619.576819,-6.93904E-07
1064,8350.237386,8350.237387,-6.76673E-07
980,2006.467004,2006.467005,-6.75042E-07
1176,11156.24281,11156.24281,-6.73826E-07
2786,851.365008,851.3650087,-6.72316E-07
1306,1090.453994,1090.453995,-6.66246E-07
302,1178.888503,1178.888504,-6.49838E-07
1818,6864.22997,6864.229971,-6.46682E-07
1790,12671.02713,12671.02713,-6.44573E-07
2056,1476.062838,1476.062839,-6.3392E-07
2058,1713.0476,1713.047601,-6.31465E-07
1504,1446.030019,1446.03002,-6.30536E-07
696,5283.426068,5283.426069,-6.29419E-07
2232,8981.161162,8981.161163,-6.13334E-07
2474,507.263751,507.2637516,-6.10974E-07
2284,3207.898444,3207.898445,-6.03594E-07
